name;city;aliases
Санкт-Петербургский государственный университет;Санкт-Петербург;СПбГУ
Санкт-Петербургский политехнический университет Петра Великого;Санкт-Петербург;Политех
Университет ИТМО;Санкт-Петербург;ИТМО
Высшая школа экономики (Санкт-Петербург);Санкт-Петербург;Вышка
Санкт-Петербургский государственный экономический университет;Санкт-Петербург;СПбГЭУ
Санкт-Петербургский государственный электротехнический университет «ЛЭТИ»;Санкт-Петербург;ЛЭТИ
Санкт-Петербургский государственный университет аэрокосмического приборостроения;Санкт-Петербург;ГУАП
Санкт-Петербургский государственный университет телекоммуникаций им. Бонч-Бруевича;Санкт-Петербург;Бонч
Санкт-Петербургский горный университет;Санкт-Петербург;Горный
Санкт-Петербургский государственный архитектурно-строительный университет;Санкт-Петербург;СПбГАСУ
Российский государственный педагогический университет им. А. И. Герцена;Санкт-Петербург;Герцена
Санкт-Петербургский государственный технологический институт;Санкт-Петербург;Техноложка
Санкт-Петербургский государственный университет промышленных технологий и дизайна;Санкт-Петербург;СПбГУПТД
Первый Санкт-Петербургский государственный медицинский университет им. Павлова;Санкт-Петербург;Первый мед
Северо-Западный государственный медицинский университет им. Мечникова;Санкт-Петербург;Мечникова
Санкт-Петербургский государственный педиатрический медицинский университет;Санкт-Петербург;Педиатричка
Военно-медицинская академия им. Кирова;Санкт-Петербург;ВМА
Санкт-Петербургский государственный морской технический университет;Санкт-Петербург;Корабелка
Государственный университет морского и речного флота им. Макарова;Санкт-Петербург;Макаровка
Петербургский государственный университет путей сообщения Императора Александра I;Санкт-Петербург;ПГУПС
Санкт-Петербургский государственный университет гражданской авиации;Санкт-Петербург;СПбГУ ГА
Балтийский государственный технический университет «Военмех»;Санкт-Петербург;Военмех
Санкт-Петербургский государственный аграрный университет;Санкт-Петербург;СПбГАУ
Санкт-Петербургский государственный лесотехнический университет;Санкт-Петербург;Лесотех
Российский государственный гидрометеорологический университет;Санкт-Петербург;РГГМУ
Санкт-Петербургский государственный институт кино и телевидения;Санкт-Петербург;СПбГИКиТ
Санкт-Петербургский государственный институт культуры;Санкт-Петербург;СПбГИК
Санкт-Петербургская государственная консерватория им. Римского-Корсакова;Санкт-Петербург;Консерватория
Санкт-Петербургский академический институт живописи им. И. Е. Репина;Санкт-Петербург;Академия художеств
Национальный государственный университет физической культуры им. Лесгафта;Санкт-Петербург;Лесгафта
